OBJECTID_1,YearAnnexed_num,majorTreeType,inGreenwayBuffer
752,1999,Pine,0
753,1999,Pine,0
754,1999,Pine,0
755,1999,Pine,0
756,1999,Cherry,0
757,1999,Pine,0
758,1999,Pine,0
759,1999,Cottonwood,0
760,1999,Pine,0
761,1999,Pine,0
762,1999,Hackberry,0
763,1999,Maple,0
764,1999,Maple,0
765,1999,Maple,0
766,1999,Maple,0
767,1999,Hackberry,0
768,1999,Maple,0
769,1999,Locust,0
770,1999,Locust,0
771,1999,Oak,0
772,1999,Oak,0
773,1995,Apple,0
774,1999,Apple,0
775,1999,Apple,0
776,1999,Apple,0
777,1999,Apple,0
778,1999,Apple,0
779,1995,Oak,0
780,1999,Linden,0
781,1999,Birch,0
782,1999,Cottonwood,0
783,1999,Cottonwood,0
784,1999,Birch,0
785,1999,Birch,0
786,1999,Spruce,0
787,1999,Spruce,0
788,1999,Apple,0
789,1999,Apple,0
790,1999,Cottonwood,0
791,1999,Cottonwood,0
792,1999,Birch,0
793,1999,Linden,0
794,1999,Linden,0
795,1999,Pear,0
796,1999,Pear,0
797,1999,Hackberry,0
798,1999,Birch,0
799,1999,Birch,0
800,1999,Birch,0
801,1999,Birch,0
802,1999,Pine,0
803,1999,Hawthorn,0
804,1999,Pine,0
805,1999,Hawthorn,0
806,1999,Plum,0
807,1999,Hawthorn,0
808,1999,Maple,0
809,1999,Pine,0
810,1999,Plum,0
811,1999,Plum,0
812,1999,Plum,0
813,1999,,0
814,1999,Oak,0
815,1999,Pear,0
816,1999,Oak,0
817,1999,Oak,0
818,1999,Oak,0
819,1999,Pear,0
820,1999,Oak,0
821,1999,Apple,0
822,1999,Apple,0
823,1999,Apple,0
824,1999,Apple,0
825,1999,Oak,0
826,1999,Apple,0
827,1999,Apple,0
828,1999,Oak,0
829,1999,Apple,0
830,1999,Apple,0
831,1999,Linden,0
832,1999,Apple,0
833,1999,Hawthorn,0
834,1999,Hawthorn,0
835,1999,Linden,0
836,1999,Locust,0
837,1999,Hackberry,0
838,1999,Catalpa,0
839,2000,Hackberry,0
840,1999,Spruce,0
841,1999,Spruce,0
842,1999,Spruce,0
843,1999,Spruce,0
844,1999,Pine,0
845,1999,Pine,0
846,1999,Pine,0
847,1999,Apple,0
848,1999,Apple,0
849,1999,Apple,0
850,1999,Pine,0
851,1999,Apple,0
852,1999,Pine,0
853,1999,Pine,0
854,1999,Pine,0
855,1999,Pine,0
856,1999,Apple,0
857,1999,Apple,0
858,1999,Spruce,0
859,1999,Spruce,0
860,1999,Locust,0
861,1999,Ash,0
862,1999,Oak,0
863,1999,Oak,0
864,1999,Oak,0
865,1999,Linden,0
866,1999,Maple,0
867,1999,Locust,0
868,1999,Locust,0
869,1999,Locust,0
870,1999,Maple,0
871,1995,Maple,0
872,1995,Maple,0
873,1995,Hawthorn,0
874,1999,Ash,0
875,1995,Pine,0
876,1995,Pine,0
877,1995,Spruce,0
878,1999,Spruce,0
879,1995,Spruce,0
880,1999,Ash,0
881,1999,Ash,0
882,1999,Hackberry,0
883,1999,Catalpa,0
884,2000,Hackberry,0
885,1999,Pine,0
886,1995,Pine,0
887,2000,Maple,0
888,1995,Hackberry,0
889,1995,Oak,0
890,1965,Locust,1
